UniProtID	GO_ID	GO_Name	GO_Aspect
A0A2K3DGV8	GO:0010436	carotenoid dioxygenase activity	molecular_function
A0A2K3DGV8	GO:0016702	oxidoreductase activity, acting on single donors with incorporation of molecular oxygen, incorporation of two atoms of oxygen	molecular_function
A0A2K3DHT1	GO:0004144	diacylglycerol O-acyltransferase activity	molecular_function
A0A2K3DHT1	GO:0008374	O-acyltransferase activity	molecular_function
A0A2K3DHT1	GO:0008374	O-acyltransferase activity	molecular_function
A0A2K3DHT1	GO:0016746	acyltransferase activity	molecular_function
A0A2K3DHY8	GO:0004672	protein kinase activity	molecular_function
A0A2K3DHY8	GO:0004674	protein serine/threonine kinase activity	molecular_function
A0A2K3DHY8	GO:0004674	protein serine/threonine kinase activity	molecular_function
A0A2K3DGZ4	GO:0022857	transmembrane transporter activity	molecular_function
A8J425	GO:0022857	transmembrane transporter activity	molecular_function
A0A2K3DGB6	GO:0005216	monoatomic ion channel activity	molecular_function
A0A2K3DGB6	GO:0005216	monoatomic ion channel activity	molecular_function
A0A2K3DGB6	GO:0005262	calcium channel activity	molecular_function
A0A2K3DIC1	GO:0004674	protein serine/threonine kinase activity	molecular_function
A0A2K3DIC1	GO:0004674	protein serine/threonine kinase activity	molecular_function
A0A2K3DIC1	GO:0004705	JUN kinase activity	molecular_function
A0A2K3DIC1	GO:0004707	MAP kinase activity	molecular_function
A0A2K3DGJ3	GO:0009881	photoreceptor activity	molecular_function
A0A2K3DGL1	GO:0009881	photoreceptor activity	molecular_function
A0A2K3DHP2	GO:0004360	glutamine-fructose-6-phosphate transaminase (isomerizing) activity	molecular_function
A0A2K3DHP2	GO:0004360	glutamine-fructose-6-phosphate transaminase (isomerizing) activity	molecular_function
A0A2K3DHP2	GO:0008483	transaminase activity	molecular_function
A0A2K3DI58	GO:0004672	protein kinase activity	molecular_function
A0A2K3DI58	GO:0004674	protein serine/threonine kinase activity	molecular_function
A0A2K3DI58	GO:0004683	calcium/calmodulin-dependent protein kinase activity	molecular_function
A0A2K3DI58	GO:0009931	calcium-dependent protein serine/threonine kinase activity	molecular_function
A0A2K3DI14	GO:0016301	kinase activity	molecular_function
A0A2K3DI14	GO:0016301	kinase activity	molecular_function
A0A2K3DG70	GO:0004721	phosphoprotein phosphatase activity	molecular_function
A0A2K3DG70	GO:0008330	protein tyrosine/threonine phosphatase activity	molecular_function
A0A2K3DG70	GO:0017017	MAP kinase tyrosine/serine/threonine phosphatase activity	molecular_function
A0A2K3DG70	GO:0033550	MAP kinase tyrosine phosphatase activity	molecular_function
A0A2K3DG70	GO:0004721	phosphoprotein phosphatase activity	molecular_function
A0A2K3DG70	GO:0008330	protein tyrosine/threonine phosphatase activity	molecular_function
A0A2K3DG70	GO:0017017	MAP kinase tyrosine/serine/threonine phosphatase activity	molecular_function
A0A2K3DG70	GO:0033550	MAP kinase tyrosine phosphatase activity	molecular_function
A0A2K3DHB8	GO:0004497	monooxygenase activity	molecular_function
A0A2K3DHB8	GO:0016705	oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen	molecular_function
A0A2K3DHB8	GO:0072374	carotene epsilon hydroxylase activity	molecular_function
A0A2K3DHJ5	GO:0004672	protein kinase activity	molecular_function
A0A2K3DHJ5	GO:0004674	protein serine/threonine kinase activity	molecular_function
A0A2K3DHJ5	GO:0016301	kinase activity	molecular_function
A0A2K3DGI6	GO:0005227	calcium-activated cation channel activity	molecular_function
A0A2K3DGI6	GO:0005227	calcium-activated cation channel activity	molecular_function
A0A2K3DH96	GO:0016740	transferase activity	molecular_function
A0A2K3DH96	GO:0019788	NEDD8 transferase activity	molecular_function
A0A2K3DHV3	GO:0004733	pyridoxamine phosphate oxidase activity	molecular_function
A0A2K3DHV3	GO:0016491	oxidoreductase activity	molecular_function
A0A2K3DHV3	GO:0016853	isomerase activity	molecular_function
A0A2K3DHV3	GO:0052856	NAD(P)HX epimerase activity	molecular_function
A0A2K3DHV3	GO:0004733	pyridoxamine phosphate oxidase activity	molecular_function
A0A2K3DHV3	GO:0016491	oxidoreductase activity	molecular_function
A0A2K3DHV3	GO:0016853	isomerase activity	molecular_function
A0A2K3DHV3	GO:0052856	NAD(P)HX epimerase activity	molecular_function
A0A2K3DI85	GO:0004842	ubiquitin-protein transferase activity	molecular_function
A0A2K3DHQ5	GO:0004620	phospholipase activity	molecular_function
A0A2K3DH86	GO:0016887	ATP hydrolysis activity	molecular_function
A0A2K3DG98	GO:0004407	histone deacetylase activity	molecular_function
A0A2K3DG98	GO:0004407	histone deacetylase activity	molecular_function
A0A2K3DG98	GO:0031078	histone H3K14 deacetylase activity, hydrolytic mechanism	molecular_function
A0A2K3DG98	GO:0032129	histone H3K9 deacetylase activity, hydrolytic mechanism	molecular_function
A0A2K3DG98	GO:0034739	histone H4K16 deacetylase activity, hydrolytic mechanism	molecular_function
A0A2K3DG98	GO:0140937	histone H4K12 deacetylase activity, hydrolytic mechanism	molecular_function
A0A2K3DG98	GO:0180032	histone H4K5 deacetylase activity, hydrolytic mechanism	molecular_function
A0A2K3DG98	GO:0180033	histone H4K8 deacetylase activity, hydrolytic mechanism	molecular_function
A0A2K3DG98	GO:1990162	histone H3K4 deacetylase activity, hydrolytic mechanism	molecular_function
A0A2K3DHD3	GO:0061631	ubiquitin conjugating enzyme activity	molecular_function
A0A2K3DGL2	GO:0009881	photoreceptor activity	molecular_function
A0A2K3DI89	GO:0061630	ubiquitin protein ligase activity	molecular_function
A0A2K3DHR1	GO:0004197	cysteine-type endopeptidase activity	molecular_function
A0A2K3DHR1	GO:0008234	cysteine-type peptidase activity	molecular_function
A0A2K3DHR3	GO:0008234	cysteine-type peptidase activity	molecular_function
A0A2K3DHW0	GO:0004848	ureidoglycolate hydrolase activity	molecular_function
A0A2K3DHW0	GO:0016829	lyase activity	molecular_function
A0A2K3DHW0	GO:0050385	ureidoglycolate lyase activity	molecular_function
A0A2K3DG59	GO:0004672	protein kinase activity	molecular_function
A0A2K3DG59	GO:0004674	protein serine/threonine kinase activity	molecular_function
A0A2K3DG59	GO:0004674	protein serine/threonine kinase activity	molecular_function
A0A2K3DG38	GO:0004672	protein kinase activity	molecular_function
A0A2K3DG38	GO:0004674	protein serine/threonine kinase activity	molecular_function
A0A2K3DG93	GO:0000095	S-adenosyl-L-methionine transmembrane transporter activity	molecular_function
A8JES1	GO:0000774	adenyl-nucleotide exchange factor activity	molecular_function
A8JES1	GO:0000774	adenyl-nucleotide exchange factor activity	molecular_function
A8JES1	GO:0042803	protein homodimerization activity	molecular_function
A0A2K3DIB0	GO:0004556	alpha-amylase activity	molecular_function
A0A2K3DIB0	GO:0004556	alpha-amylase activity	molecular_function
A0A2K3DIB0	GO:0016798	hydrolase activity, acting on glycosyl bonds	molecular_function
A8JJB2	GO:0030366	molybdopterin synthase activity	molecular_function
A0A2K3DI56	GO:0030366	molybdopterin synthase activity	molecular_function
A0A2K3DH11	GO:0004862	cAMP-dependent protein kinase inhibitor activity	molecular_function
A0A2K3DHI0	GO:0032977	membrane insertase activity	molecular_function
A0A2K3DHI0	GO:0032977	membrane insertase activity	molecular_function
A0A2K3DHK4	GO:0032977	membrane insertase activity	molecular_function
A0A2K3DHD4	GO:0004620	phospholipase activity	molecular_function
A0A2K3DGZ7	GO:0016279	protein-lysine N-methyltransferase activity	molecular_function
A8JID7	GO:0004197	cysteine-type endopeptidase activity	molecular_function
A8JID7	GO:0008234	cysteine-type peptidase activity	molecular_function
A0A2K3DGZ0	GO:0016787	hydrolase activity	molecular_function
A0A2K3DGZ0	GO:0035529	NADH pyrophosphatase activity	molecular_function
A0A2K3DGZ0	GO:0047631	ADP-ribose diphosphatase activity	molecular_function
A0A2K3DGZ0	GO:0016787	hydrolase activity	molecular_function
A0A2K3DGZ0	GO:0035529	NADH pyrophosphatase activity	molecular_function
A0A2K3DGZ0	GO:0047631	ADP-ribose diphosphatase activity	molecular_function
A0A2K3DHN7	GO:0008757	S-adenosylmethionine-dependent methyltransferase activity	molecular_function
A0A2K3DHD7	GO:0004672	protein kinase activity	molecular_function
A0A2K3DHD7	GO:0004674	protein serine/threonine kinase activity	molecular_function
A0A2K3DHD7	GO:0004713	protein tyrosine kinase activity	molecular_function
A0A2K3DGK5	GO:0004556	alpha-amylase activity	molecular_function
A0A2K3DGK5	GO:0004556	alpha-amylase activity	molecular_function
A0A2K3DGK5	GO:0016798	hydrolase activity, acting on glycosyl bonds	molecular_function
A0A2K3DGD2	GO:0000981	DNA-binding transcription factor activity, RNA polymerase II-specific	molecular_function
A0A2K3DGB9	GO:0004175	endopeptidase activity	molecular_function
A0A2K3DGB9	GO:0004222	metalloendopeptidase activity	molecular_function
A0A2K3DIA5	GO:0003924	GTPase activity	molecular_function
A0A2K3DIA5	GO:0003924	GTPase activity	molecular_function
A0A2K3DH69	GO:0003839	gamma-glutamylcyclotransferase activity	molecular_function
A0A2K3DH69	GO:0003839	gamma-glutamylcyclotransferase activity	molecular_function
A0A2K3DH69	GO:0016829	lyase activity	molecular_function
A0A2K3DGZ8	GO:0004672	protein kinase activity	molecular_function
A0A2K3DGU2	GO:0016491	oxidoreductase activity	molecular_function
A0A2K3DH19	GO:0016787	hydrolase activity	molecular_function
A0A2K3DGB8	GO:0016757	glycosyltransferase activity	molecular_function
A0A2K3DGB8	GO:0016757	glycosyltransferase activity	molecular_function
A0A2K3DGB8	GO:0016763	pentosyltransferase activity	molecular_function
A0A2K3DI63	GO:0031386	protein tag activity	molecular_function
A0A2K3DI63	GO:0031386	protein tag activity	molecular_function
A8JER6	GO:0003713	transcription coactivator activity	molecular_function
A8JER6	GO:0003713	transcription coactivator activity	molecular_function
A0A2K3DI93	GO:0004620	phospholipase activity	molecular_function
A8IYX5	GO:0004252	serine-type endopeptidase activity	molecular_function
A8IYX5	GO:0004252	serine-type endopeptidase activity	molecular_function
A8JGG8	GO:0016491	oxidoreductase activity	molecular_function
A8IYY8	GO:0003700	DNA-binding transcription factor activity	molecular_function
A0A2K3DGH7	GO:0016757	glycosyltransferase activity	molecular_function
A0A2K3DGH7	GO:0016757	glycosyltransferase activity	molecular_function
A0A2K3DGP4	GO:0004420	hydroxymethylglutaryl-CoA reductase (NADPH) activity	molecular_function
A0A2K3DGN8	GO:0003824	catalytic activity	molecular_function
A0A2K3DGN8	GO:0004850	uridine phosphorylase activity	molecular_function
A0A2K3DGN8	GO:0003824	catalytic activity	molecular_function
A0A2K3DGN8	GO:0004850	uridine phosphorylase activity	molecular_function
A0A2K3DIA7	GO:0008168	methyltransferase activity	molecular_function
A0A2K3DIA7	GO:0008988	rRNA (adenine-N6-)-methyltransferase activity	molecular_function
A0A2K3DIA7	GO:0016740	transferase activity	molecular_function
A0A2K3DHY0	GO:0005315	phosphate transmembrane transporter activity	molecular_function
A0A2K3DHY0	GO:0022857	transmembrane transporter activity	molecular_function
A0A2K3DHY3	GO:0005315	phosphate transmembrane transporter activity	molecular_function
A0A2K3DHY3	GO:0022857	transmembrane transporter activity	molecular_function
A0A2K3DGF0	GO:0016990	arginine deiminase activity	molecular_function
A0A2K3DGF0	GO:0016990	arginine deiminase activity	molecular_function
A0A2K3DGK4	GO:0004540	RNA nuclease activity	molecular_function
A0A2K3DGR3	GO:0003887	DNA-directed DNA polymerase activity	molecular_function
A0A2K3DGR3	GO:0003887	DNA-directed DNA polymerase activity	molecular_function
A0A2K3DH68	GO:0016538	cyclin-dependent protein serine/threonine kinase regulator activity	molecular_function
A0A2K3DGF7	GO:0005227	calcium-activated cation channel activity	molecular_function
A0A2K3DGF7	GO:0005227	calcium-activated cation channel activity	molecular_function
A0A2K3DIE5	GO:0004402	histone acetyltransferase activity	molecular_function
A0A2K3DIE3	GO:0004402	histone acetyltransferase activity	molecular_function
A0A2K3DHZ5	GO:0015087	cobalt ion transmembrane transporter activity	molecular_function
A0A2K3DHZ5	GO:0015095	magnesium ion transmembrane transporter activity	molecular_function
A0A2K3DHZ5	GO:0046873	metal ion transmembrane transporter activity	molecular_function
A0A2K3DI53	GO:0016757	glycosyltransferase activity	molecular_function
A0A2K3DHG7	GO:0016740	transferase activity	molecular_function
A0A2K3DGL0	GO:0009881	photoreceptor activity	molecular_function
A0A2K3DI77	GO:0005262	calcium channel activity	molecular_function
A0A2K3DHE0	GO:0003989	acetyl-CoA carboxylase activity	molecular_function
A0A2K3DHE0	GO:0003989	acetyl-CoA carboxylase activity	molecular_function
A0A2K3DHE0	GO:0016874	ligase activity	molecular_function
A0A2K3DHE0	GO:0003989	acetyl-CoA carboxylase activity	molecular_function
A0A2K3DHE0	GO:0003989	acetyl-CoA carboxylase activity	molecular_function
A0A2K3DHE0	GO:0016874	ligase activity	molecular_function
A0A2K3DI40	GO:0061630	ubiquitin protein ligase activity	molecular_function
A0A2K3DHW9	GO:0004176	ATP-dependent peptidase activity	molecular_function
A0A2K3DHW9	GO:0004222	metalloendopeptidase activity	molecular_function
A0A2K3DGG4	GO:0004672	protein kinase activity	molecular_function
A0A2K3DGG4	GO:0004674	protein serine/threonine kinase activity	molecular_function
A0A2K3DGG4	GO:0004676	3-phosphoinositide-dependent protein kinase activity	molecular_function
A0A2K3DGG4	GO:0004677	DNA-dependent protein kinase activity	molecular_function
A0A2K3DGG4	GO:0004679	AMP-activated protein kinase activity	molecular_function
A0A2K3DGG4	GO:0004694	eukaryotic translation initiation factor 2alpha kinase activity	molecular_function
A0A2K3DGG4	GO:0004711	ribosomal protein S6 kinase activity	molecular_function
A0A2K3DGG4	GO:0035175	histone H3S10 kinase activity	molecular_function
A0A2K3DGG4	GO:0035402	histone H3T11 kinase activity	molecular_function
A0A2K3DGG4	GO:0035403	histone H3T6 kinase activity	molecular_function
A0A2K3DGG4	GO:0035979	histone H2AXS139 kinase activity	molecular_function
A0A2K3DGG4	GO:0044022	histone H3S28 kinase activity	molecular_function
A0A2K3DGG4	GO:0044023	histone H4S1 kinase activity	molecular_function
A0A2K3DGG4	GO:0044024	histone H2AS1 kinase activity	molecular_function
A0A2K3DGG4	GO:0044025	histone H2BS14 kinase activity	molecular_function
A0A2K3DGG4	GO:0072354	histone H3T3 kinase activity	molecular_function
A0A2K3DGG4	GO:0072371	histone H2AS121 kinase activity	molecular_function
A0A2K3DGG4	GO:0072518	Rho-dependent protein serine/threonine kinase activity	molecular_function
A0A2K3DGG4	GO:0140823	histone H2BS36 kinase activity	molecular_function
A0A2K3DGG4	GO:0140855	histone H3S57 kinase activity	molecular_function
A0A2K3DGG4	GO:0140857	histone H3T45 kinase activity	molecular_function
A0A2K3DGG4	GO:1990244	histone H2AT120 kinase activity	molecular_function
A0A2K3DG87	GO:0003964	RNA-directed DNA polymerase activity	molecular_function
A0A2K3DG87	GO:0004519	endonuclease activity	molecular_function
A0A2K3DG87	GO:0003964	RNA-directed DNA polymerase activity	molecular_function
A0A2K3DG87	GO:0004519	endonuclease activity	molecular_function
A0A2K3DG87	GO:0003964	RNA-directed DNA polymerase activity	molecular_function
A0A2K3DG87	GO:0004519	endonuclease activity	molecular_function
A0A2K3DHY9	GO:0004672	protein kinase activity	molecular_function
A0A2K3DHY9	GO:0004674	protein serine/threonine kinase activity	molecular_function
A0A2K3DHY9	GO:0004674	protein serine/threonine kinase activity	molecular_function
A0A2K3DI27	GO:0004777	succinate-semialdehyde dehydrogenase (NAD+) activity	molecular_function
A0A2K3DI27	GO:0016491	oxidoreductase activity	molecular_function
A0A2K3DI27	GO:0016620	oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor	molecular_function
Q84XW3	GO:0009670	triose-phosphate:phosphate antiporter activity	molecular_function
Q84XW3	GO:0015121	phosphoenolpyruvate:phosphate antiporter activity	molecular_function
Q84XW3	GO:0015605	organophosphate ester transmembrane transporter activity	molecular_function
Q84XW3	GO:0022857	transmembrane transporter activity	molecular_function
Q84XW3	GO:0046943	carboxylic acid transmembrane transporter activity	molecular_function
A8J435	GO:0003847	1-alkyl-2-acetylglycerophosphocholine esterase activity	molecular_function
A0A2K3DG72	GO:0008716	D-alanine-D-alanine ligase activity	molecular_function
A0A2K3DG72	GO:0016874	ligase activity	molecular_function
A0A2K3DHT2	GO:0016301	kinase activity	molecular_function
A0A2K3DHT2	GO:0016301	kinase activity	molecular_function
A0A2K3DGP8	GO:0008597	calcium-dependent protein serine/threonine phosphatase regulator activity	molecular_function
A0A2K3DH66	GO:0004672	protein kinase activity	molecular_function
A0A2K3DH66	GO:0004674	protein serine/threonine kinase activity	molecular_function
A0A2K3DH66	GO:0004674	protein serine/threonine kinase activity	molecular_function
A0A2K3DIB5	GO:0016301	kinase activity	molecular_function
A0A2K3DIB5	GO:0016301	kinase activity	molecular_function
A0A2K3DH35	GO:0004672	protein kinase activity	molecular_function
A0A2K3DGP3	GO:0016787	hydrolase activity	molecular_function
A0A2K3DGP3	GO:0016788	hydrolase activity, acting on ester bonds	molecular_function
A0A2K3DGP3	GO:0050185	phosphatidylinositol deacylase activity	molecular_function
A0A2K3DGL3	GO:0008168	methyltransferase activity	molecular_function
A0A2K3DGL3	GO:0008757	S-adenosylmethionine-dependent methyltransferase activity	molecular_function
A8JGH0	GO:0005227	calcium-activated cation channel activity	molecular_function
A8JGH0	GO:0005227	calcium-activated cation channel activity	molecular_function
A0A2K3DGL6	GO:0000014	single-stranded DNA endodeoxyribonuclease activity	molecular_function
A0A2K3DGL6	GO:0004519	endonuclease activity	molecular_function
A0A2K3DGL6	GO:0004521	RNA endonuclease activity	molecular_function
A0A2K3DGL6	GO:0016787	hydrolase activity	molecular_function
A0A2K3DGE0	GO:0016787	hydrolase activity	molecular_function
A0A2K3DGE0	GO:0016874	ligase activity	molecular_function
A0A2K3DGE0	GO:0016787	hydrolase activity	molecular_function
A0A2K3DGE0	GO:0016874	ligase activity	molecular_function
A0A2K3DGE0	GO:0016787	hydrolase activity	molecular_function
A0A2K3DGE0	GO:0016874	ligase activity	molecular_function
A0A2K3DGE0	GO:0016787	hydrolase activity	molecular_function
